message_time_utc,cycle_date_utc,cycle_hour,model,alaskan_count,canadian_count,conus_count,mexican_count,caribbean_count,pacific_count,raw_message_id,raw_message_excerpt,message_hash
2025-10-12T15:37:00Z,2025-10-12,12,GFS,9,25,52,12,6,9,5b6c888b5c0258e9,52 CONUS...12 Mexican...6 Caribbean...and 9 Pacific stations available for ingest,5b6c888b5c0258e9
2025-10-13T01:44:00Z,2025-10-13,00,NAM,9,24,62,11,4,9,bbaadbf940751a74,62 CONUS...11 Mexican...4 Caribbean...and 9 Pacific raobs available for ingest,bbaadbf940751a74
2025-10-13T14:06:00Z,2025-10-13,12,NAM,8,26,51,13,7,9,9635febd7d370b5b,51 CONUS...13 Mexican...7 Caribbean...and 9 Pacific stations available for ingest,9635febd7d370b5b
2025-10-13T15:30:00Z,2025-10-13,12,GFS,8,26,51,13,7,9,229959d771cab252,51 CONUS...13 Mexican...7 Caribbean...and 9 Pacific stations available for ingest,229959d771cab252
2025-10-14T01:34:00Z,2025-10-14,00,NAM,9,26,63,12,4,9,dc3f4e12f824c3f8,63 CONUS..12 Mexican 4 Caribbean..and 9 Pacific stations available for ingest,dc3f4e12f824c3f8
2025-10-14T13:42:00Z,2025-10-14,12,NAM,10,25,52,12,7,9,d7840937c2f3d1d9,52 CONUS...12 Mexican...7 Caribbean...and 9 Pacific stations available for ingest,d7840937c2f3d1d9
2025-10-14T15:17:00Z,2025-10-14,12,GFS,10,25,52,12,7,9,87bbbec222c6bea4,52 CONUS...12 Mexican...7 Caribbean...and 9 Pacific stations available for ingest,87bbbec222c6bea4
2025-10-15T01:40:00Z,2025-10-15,00,NAM,9,26,63,11,4,9,c1b48324a18706d9,63 CONUS...11 Mexican...4 Caribbean...and 9 Pacific stations available for ingest,c1b48324a18706d9
2025-10-15T03:09:00Z,2025-10-15,00,GFS,9,26,64,11,4,9,34333488e24e5ac3,64 CONUS...11 Mexican...4 Caribbean...and 9 Pacific stations available for ingest,34333488e24e5ac3
2025-10-15T13:40:00Z,2025-10-15,12,NAM,8,26,50,10,7,9,165a80fafc4c1275,50 CONUS...10 Mexican...7 Caribbean...and 9 Pacific stations available for ingest,165a80fafc4c1275
2025-10-15T15:23:00Z,2025-10-15,12,GFS,8,26,50,10,7,9,e743a15203eec6b1,50 CONUS...10 Mexican...7 Caribbean...and 9 Pacific stations available for ingest,e743a15203eec6b1
2025-10-16T01:39:00Z,2025-10-16,00,NAM,9,27,62,12,4,9,5b7daf2ad39208cf,62 CONUS...12 Mexican...4 Caribbean...and 9 Pacific stations available for ingest,5b7daf2ad39208cf
2025-10-16T03:04:00Z,2025-10-16,00,GFS,9,27,62,12,4,9,75e6fb23542f2ae2,62 CONUS...12 Mexican...4 Caribbean...and 9 Pacific stations available for ingest,75e6fb23542f2ae2
2025-10-17T01:40:00Z,2025-10-17,00,NAM,10,27,64,11,4,9,f23837f48f23796e,64 CONUS...11 Mexican...4 Caribbean...and 9 Pacific stations available for ingest,f23837f48f23796e
2025-10-20T13:23:00Z,2025-10-20,12,NCEP,12,26,49,11,5,9,b3326781902ca5a7,49 CONUS..11 Mexican 5 Caribbean..and 9 Pacific stations available for ingest,b3326781902ca5a7
2025-10-21T01:33:00Z,2025-10-21,00,NAM,11,26,63,13,4,9,1ee2b6d573855536,63 CONUS...13 Mexican...4 Caribbean...and 9 Pacific raobs available for ingest,1ee2b6d573855536
2025-10-21T13:50:00Z,2025-10-21,12,NAM,11,26,50,12,7,9,b072d8ef08a5113b,50 CONUS...12 Mexican...7 Caribbean...and 9 Pacific stations available for ingest,b072d8ef08a5113b
2025-10-21T15:19:00Z,2025-10-21,12,GFS,11,26,50,12,7,9,8bd3e98dfbcd9cb7,50 CONUS...12 Mexican...7 Caribbean...and 9 Pacific stations available for ingest,8bd3e98dfbcd9cb7
2025-10-22T01:39:00Z,2025-10-22,00,NAM,11,26,63,13,3,9,ed5cd72c96e27e44,63 CONUS...13 Mexican...3 Caribbean...and 9 Pacific raobs available for ingest,ed5cd72c96e27e44
2025-10-22T13:40:00Z,2025-10-22,12,NAM,11,26,52,13,7,9,2f32ad61b1a79005,52 CONUS...13 Mexican...7 Caribbean...and 9 Pacific stations available for ingest,2f32ad61b1a79005
2025-10-22T15:18:00Z,2025-10-22,12,GFS,11,26,52,13,7,9,25127ccd91f37944,52 CONUS...13 Mexican...7 Caribbean...and 9 Pacific stations available for ingest,25127ccd91f37944
2025-10-23T13:46:00Z,2025-10-23,12,NAM,12,26,50,12,6,8,bb14f9b3bc15d286,50 CONUS...12 Mexican...6 Caribbean...and 8 Pacific stations available for ingest,bb14f9b3bc15d286
2025-10-23T15:31:00Z,2025-10-23,12,GFS,12,26,51,12,6,8,e7f72035bc6e8543,51 CONUS...12 Mexican...6 Caribbean...and 8 Pacific stations available for ingest,e7f72035bc6e8543
2025-10-24T03:20:00Z,2025-10-24,00,NAM,11,26,63,14,5,9,56c6a3e639a38368,63 CONUS...14 Mexican...5 Caribbean...and 9 Pacific stations available for ingest,56c6a3e639a38368
